content_id,title,genre,content_type,total_views,avg_completion_rate,content_length_mins,efficiency_score,tier,quadrant
C0248,Title_164,Thriller,Series,2,0.9118,30.0000,100.0000,Elite,Star Content
C0434,Title_580,Drama,Series,2,0.8409,30.0000,92.1931,Elite,Clickbait
C0822,Title_717,Drama,Movie,2,0.8542,37.5000,74.8312,Elite,Clickbait
C0293,Title_778,Action,Series,2,1.0000,45.0000,72.9949,Elite,Star Content
C0269,Title_366,Comedy,Series,2,0.8750,45.0000,63.8131,Elite,Star Content
C0093,Title_674,Romance,Series,2,0.8000,45.0000,58.3041,Elite,Clickbait
C0002,Title_285,Thriller,Movie,2,0.6429,37.5000,56.2054,Elite,Clickbait
C0875,Title_583,Thriller,Series,2,0.6364,37.5000,55.6330,Elite,Clickbait
C0393,Title_250,Action,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0393,Title_507,Thriller,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0649,Title_848,Thriller,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0393,Title_649,Comedy,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0892,Title_130,Thriller,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0649,Title_657,Documentary,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0393,Title_711,Romance,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0892,Title_283,Sci-Fi,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0123,Title_386,Drama,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0393,Title_821,Drama,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0122,Title_883,Drama,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0649,Title_39,Animation,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0649,Title_349,Documentary,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0394,Title_492,Comedy,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0892,Title_704,Comedy,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0648,Title_832,Animation,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0122,Title_382,Horror,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0123,Title_374,Documentary,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0388,Title_222,Sci-Fi,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0392,Title_995,Drama,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0123,Title_409,Horror,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0392,Title_196,Comedy,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0890,Title_63,Romance,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0392,Title_246,Drama,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0392,Title_342,Thriller,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0124,Title_174,Comedy,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0124,Title_156,Drama,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0392,Title_437,Sci-Fi,Series,1,1.0000,30.0000,54.6314,Elite,Star Content
C0651,Title_433,Action,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
C0392,Title_46,Action,Movie,1,1.0000,30.0000,54.6314,Elite,Star Content
