user_id,segment,avg_completion_rate,avg_episodes_per_session,total_sessions,favourite_genre,subscription_tier
U000001,Binge Viewer,0.8650,5.6000,5,Documentary,Standard
U000002,Binge Viewer,0.8004,7.4286,7,Action,Standard
U000003,Casual Viewer,0.5065,4.2000,5,Drama,Standard
U000004,Binge Viewer,0.7902,6.8750,8,Drama,Basic
U000005,Binge Viewer,0.8384,7.5000,4,Comedy,Basic
U000006,Casual Viewer,0.6304,7.7143,7,Horror,Premium
U000007,Binge Viewer,0.9000,5.0000,5,Documentary,Premium
U000008,Casual Viewer,0.5527,4.2500,4,Thriller,Standard
U000009,Casual Viewer,0.5556,3.5000,2,Drama,Premium
U000010,Casual Viewer,0.6185,3.2500,4,Drama,Premium
U000011,Binge Viewer,0.8506,7.5714,7,Action,Premium
U000012,Binge Viewer,0.8261,3.8889,9,Comedy,Standard
U000013,Binge Viewer,0.7760,8.1667,6,Action,Premium
U000014,Casual Viewer,0.8364,1.4000,5,Drama,Premium
U000015,Casual Viewer,0.8417,2.2000,5,Action,Basic
U000016,Casual Viewer,0.4972,4.2500,4,Drama,Standard
U000017,Casual Viewer,0.6591,6.1250,8,Thriller,Premium
U000018,Casual Viewer,0.4844,4.0000,4,Drama,Basic
U000019,Casual Viewer,0.7237,5.8750,8,Comedy,Basic
U000020,Casual Viewer,0.5708,4.6000,5,Horror,Standard
U000021,Casual Viewer,0.5129,4.0000,4,Documentary,Standard
U000022,Casual Viewer,0.5448,5.2500,4,Thriller,Standard
U000023,Casual Viewer,0.5651,2.8333,6,Documentary,Standard
U000024,Casual Viewer,0.5838,9.0000,5,Action,Premium
U000025,Casual Viewer,0.5780,9.0000,3,Action,Premium
U000026,Casual Viewer,0.5438,6.6000,5,Drama,Basic
U000027,Casual Viewer,0.7104,3.0000,8,Documentary,Premium
U000028,Binge Viewer,0.7660,4.4286,14,Action,Standard
U000029,Binge Viewer,0.9091,3.3333,3,Drama,Basic
U000030,Casual Viewer,0.8654,3.0000,4,Documentary,Standard
U000031,Casual Viewer,0.7004,7.5000,4,Reality,Premium
U000032,Binge Viewer,0.8452,3.3333,6,Romance,Standard
U000033,Binge Viewer,0.9773,3.2500,4,Thriller,Premium
U000034,Casual Viewer,0.7044,1.6000,5,Action,Premium
U000035,Casual Viewer,0.7857,2.5000,2,Documentary,Standard
U000036,Drop-off Risk,1.0000,1.0000,1,Reality,Standard
U000037,Casual Viewer,0.7667,3.0000,5,Drama,Standard
U000038,Casual Viewer,0.6700,4.2000,5,Action,Standard
